region_id	chrom	start	end	window_size	n_fraction
cand_chr21_073	chr21	16134199	16234199	100000	0.0
cand_chr21_074	chr21	16234199	16334199	100000	0.0
cand_chr21_075	chr21	16334199	16434199	100000	0.0
cand_chr21_076	chr21	16434199	16534199	100000	0.0
cand_chr21_077	chr21	16534199	16634199	100000	0.0
cand_chr21_078	chr21	16634199	16734199	100000	0.0
cand_chr21_079	chr21	16734199	16834199	100000	0.0
cand_chr21_080	chr21	16834199	16934199	100000	0.0
cand_chr21_081	chr21	16934199	17034199	100000	0.0
cand_chr21_082	chr21	17034199	17134199	100000	0.0
cand_chr21_083	chr21	17134199	17234199	100000	0.0
cand_chr21_084	chr21	17234199	17334199	100000	0.0
cand_chr21_085	chr21	17334199	17434199	100000	0.0
cand_chr21_086	chr21	17434199	17534199	100000	0.0
cand_chr21_087	chr21	17534199	17634199	100000	0.0
cand_chr21_088	chr21	17634199	17734199	100000	0.0
cand_chr21_089	chr21	17734199	17834199	100000	0.0
cand_chr21_090	chr21	17834199	17934199	100000	0.0
cand_chr21_091	chr21	17934199	18034199	100000	0.0
cand_chr21_092	chr21	18034199	18134199	100000	0.0
cand_chr21_093	chr21	18134199	18234199	100000	0.0
cand_chr21_094	chr21	18234199	18334199	100000	0.0
cand_chr21_095	chr21	18334199	18434199	100000	0.0
cand_chr21_096	chr21	18434199	18534199	100000	0.0
cand_chr21_097	chr21	18534199	18634199	100000	0.0
cand_chr21_098	chr21	18634199	18734199	100000	0.0
cand_chr21_099	chr21	18734199	18834199	100000	0.0
cand_chr21_100	chr21	18834199	18934199	100000	0.0
cand_chr21_101	chr21	18934199	19034199	100000	0.0
cand_chr21_102	chr21	19034199	19134199	100000	0.0
cand_chr21_103	chr21	19134199	19234199	100000	0.0
cand_chr21_104	chr21	19234199	19334199	100000	0.0
cand_chr21_105	chr21	19334199	19434199	100000	0.0
cand_chr21_106	chr21	19434199	19534199	100000	0.0
cand_chr21_107	chr21	19534199	19634199	100000	0.0
cand_chr21_108	chr21	19634199	19734199	100000	0.0
cand_chr21_109	chr21	19734199	19834199	100000	0.0
cand_chr21_110	chr21	19834199	19934199	100000	0.0
cand_chr21_111	chr21	19934199	20034199	100000	0.0
cand_chr21_112	chr21	20034199	20134199	100000	0.0
cand_chr21_113	chr21	20134199	20234199	100000	0.0
cand_chr21_114	chr21	20234199	20334199	100000	0.0
cand_chr21_115	chr21	20334199	20434199	100000	0.0
cand_chr21_116	chr21	20434199	20534199	100000	0.0
cand_chr21_117	chr21	20534199	20634199	100000	0.0
cand_chr21_118	chr21	20634199	20734199	100000	0.0
cand_chr21_119	chr21	20734199	20834199	100000	0.0
cand_chr21_120	chr21	20834199	20934199	100000	0.0
cand_chr21_121	chr21	20934199	21034199	100000	0.0
cand_chr21_122	chr21	21034199	21134199	100000	0.0
cand_chr21_123	chr21	21134199	21234199	100000	0.0
cand_chr21_124	chr21	21234199	21334199	100000	0.0
cand_chr21_125	chr21	21334199	21434199	100000	0.0
cand_chr21_126	chr21	21434199	21534199	100000	0.0
cand_chr21_127	chr21	21534199	21634199	100000	0.0
cand_chr21_128	chr21	21634199	21734199	100000	0.0
cand_chr21_129	chr21	21734199	21834199	100000	0.0
cand_chr21_130	chr21	21834199	21934199	100000	0.0
cand_chr21_131	chr21	21934199	22034199	100000	0.0
cand_chr21_132	chr21	22034199	22134199	100000	0.0
cand_chr21_133	chr21	22134199	22234199	100000	0.0
cand_chr21_134	chr21	22234199	22334199	100000	0.0
cand_chr21_135	chr21	22334199	22434199	100000	0.0
cand_chr21_136	chr21	22434199	22534199	100000	0.0
cand_chr21_137	chr21	22534199	22634199	100000	0.0
cand_chr21_138	chr21	22634199	22734199	100000	0.0
cand_chr21_139	chr21	22734199	22834199	100000	0.0
cand_chr21_140	chr21	22834199	22934199	100000	0.0
cand_chr21_141	chr21	22934199	23034199	100000	0.0
cand_chr21_142	chr21	23034199	23134199	100000	0.0
cand_chr21_143	chr21	23134199	23234199	100000	0.0
cand_chr21_144	chr21	23234199	23334199	100000	0.0
cand_chr21_145	chr21	23334199	23434199	100000	0.0
cand_chr21_146	chr21	23434199	23534199	100000	0.0
cand_chr21_147	chr21	23534199	23634199	100000	0.0
cand_chr21_148	chr21	23634199	23734199	100000	0.0
cand_chr21_149	chr21	23734199	23834199	100000	0.0
cand_chr21_150	chr21	23834199	23934199	100000	0.0
cand_chr21_151	chr21	23934199	24034199	100000	0.0
cand_chr21_152	chr21	24034199	24134199	100000	0.0
cand_chr21_153	chr21	24134199	24234199	100000	0.0
cand_chr21_154	chr21	24234199	24334199	100000	0.0
cand_chr21_155	chr21	24334199	24434199	100000	0.0
cand_chr21_156	chr21	24434199	24534199	100000	0.0
cand_chr21_157	chr21	24534199	24634199	100000	0.0
cand_chr21_158	chr21	24634199	24734199	100000	0.0
cand_chr21_159	chr21	24734199	24834199	100000	0.0
cand_chr21_160	chr21	24834199	24934199	100000	0.0
cand_chr21_161	chr21	24934199	25034199	100000	0.0
cand_chr21_162	chr21	25034199	25134199	100000	0.0
cand_chr21_163	chr21	25134199	25234199	100000	0.0
cand_chr21_164	chr21	25234199	25334199	100000	0.0
cand_chr21_165	chr21	25334199	25434199	100000	0.0
cand_chr21_166	chr21	25434199	25534199	100000	0.0
cand_chr21_167	chr21	25534199	25634199	100000	0.0
cand_chr21_168	chr21	25634199	25734199	100000	0.0
cand_chr21_169	chr21	25734199	25834199	100000	0.0
cand_chr21_170	chr21	25834199	25934199	100000	0.0
cand_chr21_171	chr21	25934199	26034199	100000	0.0
cand_chr21_172	chr21	26034199	26134199	100000	0.0
cand_chr21_173	chr21	26134199	26234199	100000	0.0
cand_chr21_174	chr21	26234199	26334199	100000	0.0
cand_chr21_175	chr21	26334199	26434199	100000	0.0
cand_chr21_176	chr21	26434199	26534199	100000	0.0
cand_chr21_177	chr21	26534199	26634199	100000	0.0
cand_chr21_178	chr21	26634199	26734199	100000	0.0
cand_chr21_179	chr21	26734199	26834199	100000	0.0
cand_chr21_180	chr21	26834199	26934199	100000	0.0
cand_chr21_181	chr21	26934199	27034199	100000	0.0
cand_chr21_182	chr21	27034199	27134199	100000	0.0
cand_chr21_183	chr21	27134199	27234199	100000	0.0
cand_chr21_184	chr21	27234199	27334199	100000	0.0
cand_chr21_185	chr21	27334199	27434199	100000	0.0
cand_chr21_186	chr21	27434199	27534199	100000	0.0
cand_chr21_187	chr21	27534199	27634199	100000	0.0
cand_chr21_188	chr21	27634199	27734199	100000	0.0
cand_chr21_189	chr21	27734199	27834199	100000	0.0
cand_chr21_190	chr21	27834199	27934199	100000	0.0
cand_chr21_191	chr21	27934199	28034199	100000	0.0
cand_chr21_192	chr21	28034199	28134199	100000	0.0
cand_chr21_193	chr21	28134199	28234199	100000	0.0
cand_chr21_194	chr21	28234199	28334199	100000	0.0
cand_chr21_195	chr21	28334199	28434199	100000	0.0
cand_chr21_196	chr21	28434199	28534199	100000	0.0
cand_chr21_197	chr21	28534199	28634199	100000	0.0
cand_chr21_198	chr21	28634199	28734199	100000	0.0
cand_chr21_199	chr21	28734199	28834199	100000	0.0
cand_chr21_200	chr21	28834199	28934199	100000	0.0
cand_chr21_201	chr21	28934199	29034199	100000	0.0
cand_chr21_202	chr21	29034199	29134199	100000	0.0
cand_chr21_203	chr21	29134199	29234199	100000	0.0
cand_chr21_204	chr21	29234199	29334199	100000	0.0
cand_chr21_205	chr21	29334199	29434199	100000	0.0
cand_chr21_206	chr21	29434199	29534199	100000	0.0
cand_chr21_207	chr21	29534199	29634199	100000	0.0
cand_chr21_208	chr21	29634199	29734199	100000	0.0
cand_chr21_209	chr21	29734199	29834199	100000	0.0
cand_chr21_210	chr21	29834199	29934199	100000	0.0
cand_chr21_211	chr21	29934199	30034199	100000	0.0
cand_chr21_212	chr21	30034199	30134199	100000	0.0
cand_chr21_213	chr21	30134199	30234199	100000	0.0
cand_chr21_214	chr21	30234199	30334199	100000	0.0
cand_chr21_215	chr21	30334199	30434199	100000	0.0
cand_chr21_216	chr21	30434199	30534199	100000	0.0
cand_chr21_217	chr21	30534199	30634199	100000	0.0
cand_chr21_218	chr21	30634199	30734199	100000	0.0
cand_chr21_219	chr21	30734199	30834199	100000	0.0
cand_chr21_220	chr21	30834199	30934199	100000	0.0
cand_chr21_221	chr21	30934199	31034199	100000	0.0
cand_chr21_222	chr21	31034199	31134199	100000	0.0
cand_chr21_223	chr21	31134199	31234199	100000	0.0
cand_chr21_224	chr21	31234199	31334199	100000	0.0
cand_chr21_225	chr21	31334199	31434199	100000	0.0
cand_chr21_226	chr21	31434199	31534199	100000	0.0
cand_chr21_227	chr21	31534199	31634199	100000	0.0
cand_chr21_228	chr21	31634199	31734199	100000	0.0
cand_chr21_229	chr21	31734199	31834199	100000	0.0003
cand_chr21_230	chr21	31834199	31934199	100000	0.0
cand_chr21_231	chr21	31934199	32034199	100000	0.0
cand_chr21_232	chr21	32034199	32134199	100000	0.0
cand_chr21_233	chr21	32134199	32234199	100000	0.0
cand_chr21_234	chr21	32234199	32334199	100000	0.0
cand_chr21_235	chr21	32334199	32434199	100000	0.0
cand_chr21_236	chr21	32434199	32534199	100000	0.0
cand_chr21_237	chr21	32534199	32634199	100000	0.0
cand_chr21_238	chr21	32634199	32734199	100000	0.0
cand_chr21_239	chr21	32734199	32834199	100000	0.0
cand_chr21_240	chr21	32834199	32934199	100000	0.0
cand_chr21_241	chr21	32934199	33034199	100000	0.0
cand_chr21_242	chr21	33034199	33134199	100000	0.0
cand_chr21_243	chr21	33134199	33234199	100000	0.0
cand_chr21_244	chr21	33234199	33334199	100000	0.0
cand_chr21_245	chr21	33334199	33434199	100000	0.0
cand_chr21_246	chr21	33434199	33534199	100000	0.0
cand_chr21_247	chr21	33534199	33634199	100000	0.0
cand_chr21_248	chr21	33634199	33734199	100000	0.0
cand_chr21_249	chr21	33734199	33834199	100000	0.0
cand_chr21_250	chr21	33834199	33934199	100000	0.0
cand_chr21_251	chr21	33934199	34034199	100000	0.0
cand_chr21_252	chr21	34034199	34134199	100000	0.0
cand_chr21_253	chr21	34134199	34234199	100000	0.0
cand_chr21_254	chr21	34234199	34334199	100000	0.0
cand_chr21_255	chr21	34334199	34434199	100000	0.0
cand_chr21_256	chr21	34434199	34534199	100000	0.0
cand_chr21_257	chr21	34534199	34634199	100000	0.0
cand_chr21_258	chr21	34634199	34734199	100000	0.0
cand_chr21_259	chr21	34734199	34834199	100000	0.0
cand_chr21_260	chr21	34834199	34934199	100000	0.0
cand_chr21_261	chr21	34934199	35034199	100000	0.0
cand_chr21_262	chr21	35034199	35134199	100000	0.0
cand_chr21_263	chr21	35134199	35234199	100000	0.0
cand_chr21_264	chr21	35234199	35334199	100000	0.0
cand_chr21_265	chr21	35334199	35434199	100000	0.0
cand_chr21_266	chr21	35434199	35534199	100000	0.0
cand_chr21_267	chr21	35534199	35634199	100000	0.0
cand_chr21_268	chr21	35634199	35734199	100000	0.0
cand_chr21_269	chr21	35734199	35834199	100000	0.0
cand_chr21_270	chr21	35834199	35934199	100000	0.0
cand_chr21_271	chr21	35934199	36034199	100000	0.0
cand_chr21_272	chr21	36034199	36134199	100000	0.0
cand_chr21_273	chr21	36134199	36234199	100000	0.0
cand_chr21_274	chr21	36234199	36334199	100000	0.0
cand_chr21_275	chr21	36334199	36434199	100000	0.0
cand_chr21_276	chr21	36434199	36534199	100000	0.0
cand_chr21_277	chr21	36534199	36634199	100000	0.0
cand_chr21_278	chr21	36634199	36734199	100000	0.0
cand_chr21_279	chr21	36734199	36834199	100000	0.0
cand_chr21_280	chr21	36834199	36934199	100000	0.0
cand_chr21_281	chr21	36934199	37034199	100000	0.0
cand_chr21_282	chr21	37034199	37134199	100000	0.0
cand_chr21_283	chr21	37134199	37234199	100000	0.0
cand_chr21_284	chr21	37234199	37334199	100000	0.0
cand_chr21_285	chr21	37334199	37434199	100000	0.0
cand_chr21_286	chr21	37434199	37534199	100000	0.0
cand_chr21_287	chr21	37534199	37634199	100000	0.0
cand_chr21_288	chr21	37634199	37734199	100000	0.0
cand_chr21_289	chr21	37734199	37834199	100000	0.0
cand_chr21_290	chr21	37834199	37934199	100000	0.0
cand_chr21_291	chr21	37934199	38034199	100000	0.0
cand_chr21_292	chr21	38034199	38134199	100000	0.0
cand_chr21_293	chr21	38134199	38234199	100000	0.0
cand_chr21_294	chr21	38234199	38334199	100000	0.0
cand_chr21_295	chr21	38334199	38434199	100000	0.0
cand_chr21_296	chr21	38434199	38534199	100000	0.0
cand_chr21_297	chr21	38534199	38634199	100000	0.0
cand_chr21_298	chr21	38634199	38734199	100000	0.0
cand_chr21_299	chr21	38734199	38834199	100000	0.0
cand_chr21_300	chr21	38834199	38934199	100000	0.0001
cand_chr21_301	chr21	38934199	39034199	100000	0.0
cand_chr21_302	chr21	39034199	39134199	100000	0.0
cand_chr21_303	chr21	39134199	39234199	100000	0.0
cand_chr21_304	chr21	39234199	39334199	100000	0.0
cand_chr21_305	chr21	39334199	39434199	100000	0.0
cand_chr21_306	chr21	39434199	39534199	100000	0.0
cand_chr21_307	chr21	39534199	39634199	100000	0.0
cand_chr21_308	chr21	39634199	39734199	100000	0.0
cand_chr21_309	chr21	39734199	39834199	100000	0.0
cand_chr21_310	chr21	39834199	39934199	100000	0.0
cand_chr21_311	chr21	39934199	40034199	100000	0.0
cand_chr21_312	chr21	40034199	40134199	100000	0.0
cand_chr21_313	chr21	40134199	40234199	100000	0.0
cand_chr21_314	chr21	40234199	40334199	100000	0.0
cand_chr21_315	chr21	40334199	40434199	100000	0.0
cand_chr21_316	chr21	40434199	40534199	100000	0.0
cand_chr21_317	chr21	40534199	40634199	100000	0.0
cand_chr21_318	chr21	40634199	40734199	100000	0.0
cand_chr21_319	chr21	40734199	40834199	100000	0.0
cand_chr21_320	chr21	40834199	40934199	100000	0.0
cand_chr21_321	chr21	40934199	41034199	100000	0.0
cand_chr21_322	chr21	41034199	41134199	100000	0.0
cand_chr21_323	chr21	41134199	41234199	100000	0.0
cand_chr21_324	chr21	41234199	41334199	100000	0.0
cand_chr21_325	chr21	41334199	41434199	100000	0.0
cand_chr21_326	chr21	41434199	41534199	100000	0.0
cand_chr21_327	chr21	41534199	41634199	100000	0.001
cand_chr21_328	chr21	41634199	41734199	100000	0.0
cand_chr21_329	chr21	41734199	41834199	100000	3e-05
cand_chr21_330	chr21	41834199	41934199	100000	0.0
cand_chr21_331	chr21	41934199	42034199	100000	0.0
cand_chr21_332	chr21	42034199	42134199	100000	0.0
cand_chr21_333	chr21	42134199	42234199	100000	0.0
cand_chr21_334	chr21	42234199	42334199	100000	0.0
cand_chr21_335	chr21	42334199	42434199	100000	0.0
cand_chr21_336	chr21	42434199	42534199	100000	0.0
cand_chr21_337	chr21	42534199	42634199	100000	0.0001
cand_chr21_338	chr21	42634199	42734199	100000	0.0
cand_chr21_339	chr21	42734199	42834199	100000	0.0
cand_chr21_340	chr21	42834199	42934199	100000	0.0
cand_chr21_341	chr21	42934199	43034199	100000	0.0
cand_chr21_342	chr21	43034199	43134199	100000	0.0
cand_chr21_343	chr21	43334199	43434199	100000	0.0
cand_chr21_344	chr21	43434199	43534199	100000	0.0001
cand_chr21_345	chr21	43534199	43634199	100000	0.0
cand_chr21_346	chr21	43634199	43734199	100000	0.0
cand_chr21_347	chr21	43734199	43834199	100000	0.0
cand_chr21_348	chr21	43834199	43934199	100000	0.0
cand_chr21_349	chr21	43934199	44034199	100000	0.0
cand_chr21_350	chr21	44034199	44134199	100000	0.0
cand_chr21_351	chr21	44134199	44234199	100000	0.0
cand_chr21_352	chr21	44234199	44334199	100000	0.0
cand_chr21_353	chr21	44334199	44434199	100000	0.0
cand_chr21_354	chr21	44434199	44534199	100000	0.0
cand_chr21_355	chr21	44534199	44634199	100000	0.0
cand_chr21_356	chr21	44634199	44734199	100000	0.0
cand_chr21_357	chr21	44734199	44834199	100000	0.0
cand_chr21_358	chr21	44834199	44934199	100000	0.0
cand_chr21_359	chr21	44934199	45034199	100000	0.0
cand_chr21_360	chr21	45034199	45134199	100000	0.0
cand_chr21_361	chr21	45134199	45234199	100000	0.0
cand_chr21_362	chr21	45234199	45334199	100000	0.0
cand_chr21_363	chr21	45334199	45434199	100000	0.0
cand_chr21_364	chr21	45434199	45534199	100000	0.0
cand_chr21_365	chr21	45534199	45634199	100000	0.0
cand_chr21_366	chr21	45634199	45734199	100000	0.0
