region_id	chrom	start	end	window_size	reference_length	graph_bp	node_count	edge_count	path_count	step_count	mean_degree	max_degree	node_density	edge_node_ratio	sequence_inflation	log10_node_density	log10_edge_node_ratio	log10_sequence_inflation	log10_max_degree	z_log10_node_density	z_log10_edge_node_ratio	z_log10_sequence_inflation	z_log10_max_degree	complexity_score	index_success	wall_time_sec	max_rss_gb	gbz_size_mb	dist_size_mb	min_size_mb	exit_code	failure_reason	total_reads	mapped_reads	mapping_rate	correct_reads	incorrect_reads	accuracy	sensitivity	mean_mapq	median_mapq	high_mapq_fraction	n_segdup	max_segdup_identity	max_tandem_repeat_span_bp	hazard_flag_v3	complexity_tier	pipeline_status
cand_chr21_047	chr21	13534199	13634199	100000	100000	100095	2922	3090	78825	1275362	2.11499	9.0	0.02922	1.057494866529774	1.00095	-1.534319788401722	0.0242782678265566	0.0004123839064525	1.0	-0.2940051545354554	-0.3287656829095622	0.143942471214728	-0.6474962648601457	-0.2815811577726088	True	0.27	0.071319552	0.20944	0.194072	1.069095	0		60000.0	60000.0	1.0	59996.0	4.0	0.9999333333333332	0.9999333333333332	59.87586666666667	60.0	0.9972333333333332	26	0.9961	347.7	True	low	success
cand_chr21_093	chr21	18134199	18234199	100000	100000	100032	2777	2930	66946	1263687	2.11019	12.0	0.02777	1.0550954267194814	1.00032	-1.5564241202497424	0.0232917406038518	0.0001389520030741	1.1139433523068367	-0.5791850431956509	-0.4164696752193114	0.1114983874239289	-0.0582422945227764	-0.2355996563784524	True	1.2	0.11943936	3.92952	0.080224	1.057559	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.91296666666667	60.0	0.9977	0	0.0	149.1	False	low	success
cand_chr21_184	chr21	27234199	27334199	100000	100000	100058	2896	3052	63990	1276734	2.10773	12.0	0.02896	1.0538674033149171	1.00058	-1.5382014424748909	0.0227859717577335	0.0002518177794051	1.1139433523068367	-0.3440844640578891	-0.4614334085756506	0.1248904849047003	-0.0582422945227764	-0.184717420562904	True	0.29	0.07118848	0.213232	0.19116	1.062895	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.87206666666667	60.0	0.9971333333333332	0	0.0	144.0	False	low	success
cand_chr21_096	chr21	18434199	18534199	100000	100000	100201	2843	3014	45026	1273263	2.1203	12.0	0.02843	1.0601477312697851	1.00201	-1.546223140309558	0.0253663882881707	0.0008720557858654	1.1139433523068367	-0.4475767076183301	-0.2320298743062988	0.1984848738666594	-0.0582422945227764	-0.1348410006451865	True	0.28	0.070320128	0.209224	0.194384	1.078975	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.6702	60.0	0.9932333333333332	1	0.927	83.2	True	low	success
cand_chr21_157	chr21	24534199	24634199	100000	100000	100110	3020	3149	72094	1325519	2.08543	15.0	0.0302	1.0427152317880797	1.0011	-1.5199930570428493	0.0181657176793933	0.0004774613744552	1.2041199826559248	-0.1091682781313485	-0.8721820618615074	0.1516642432489575	0.4081029234216071	-0.1053957933305728	True	0.3	0.07200768	0.216536	0.209056	1.079855	0		60000.0	60000.0	1.0	59968.0	32.0	0.9994666666666666	0.9994666666666666	59.8151	60.0	0.9962	0	0.0	176.4	False	low	success
cand_chr21_043	chr21	13134199	13234199	100000	100000	100072	4264	4407	147604	2093045	2.06707	7.0	0.04264	1.0335365853658536	1.00072	-1.3701828039814845	0.014325854491403	0.0003125795118446	0.9030899869919436	1.82361447150974	-1.21355260264258	0.1321001729995647	-1.1486629303507925	-0.1016252221210168	True	0.89	0.202653696	0.651744	0.817616	4.326071	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.39606666666667	60.0	0.9873	91	0.9919	262.0	True	low	success
cand_chr21_246	chr21	33434199	33534199	100000	100000	100143	2678	2905	70484	1196731	2.16953	10.0	0.02678	1.0847647498132935	1.00143	-1.5721894273240098	0.0353355640503593	0.0006205974875974	1.0413926851582251	-0.782581759597012	0.6542472544528232	0.168648069901584	-0.4334354743128643	-0.0982804773888673	True	0.3	0.07192576	0.218352	0.211432	1.112079	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.7749	60.0	0.9958333333333332	1	0.907	623.2	True	low	success
cand_chr21_352	chr21	44234199	44334199	100000	100000	99830	3802	3984	62771	1731759	2.09574	8.0	0.03802	1.0478695423461335	0.9983	-1.4199878874705756	0.0203072172222367	-0.0007389288868995	0.9542425094393248	1.1810522686896232	-0.6817990140202953	0.0073333620529407	-0.8841294904031747	-0.0943857184202265	True	0.37	0.099057664	0.291832	0.2956	2.140551	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.5477	60.0	0.9909333333333332	1	0.9984	1207.5	True	low	success
cand_chr21_106	chr21	19434199	19534199	100000	100000	100051	2959	3126	62783	1293650	2.11288	13.0	0.02959	1.0564379858060156	1.00051	-1.528855034839367	0.023844008522535	0.0002214337249691	1.146128035678238	-0.2235014259820222	-0.3673720931370691	0.1212852625592283	0.1081996441835623	-0.0903471530940751	True	0.29	0.072187904	0.212768	0.202144	1.073079	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.612966666666665	60.0	0.9924333333333332	0	0.0	168.1	False	low	success
cand_chr21_061	chr21	14934199	15034199	100000	100000	99132	2410	2601	35793	1527621	2.15851	19.0	0.0241	1.079253112033195	0.99132	-1.6179829574251317	0.0331233096210043	-0.0037861317899817	1.3010299956639813	-1.3733887518818688	0.4575739736817154	-0.3542327357346846	0.909269588912254	-0.090194481255646	True	0.39	0.074694656	0.20316	0.20904	1.072823	0		60000.0	60000.0	1.0	59940.0	60.0	0.999	0.999	59.15593333333333	60.0	0.9844666666666668	0	0.0	1265.0	False	low	success
cand_chr21_263	chr21	35134199	35234199	100000	100000	99963	2997	3193	47658	1351893	2.1308	11.0	0.02997	1.0653987320653988	0.99963	-1.5233132570543553	0.0275121755938001	-0.0001607186930962	1.0791812460476249	-0.1520039664534846	-0.0412656368681263	0.0759409376308604	-0.2380132834907835	-0.0888354872953835	True	0.3	0.07233536	0.216504	0.195896	1.070335	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.637	60.0	0.9923	1	0.9721	172.2	True	high	success
cand_chr21_177	chr21	26534199	26634199	100000	100000	100060	2603	2780	53925	1149300	2.136	15.0	0.02603	1.0679984633115636	1.0006	-1.5845258318907642	0.0285706278088405	0.0002604985473903	1.2041199826559248	-0.941740358237452	0.0528326128219524	0.1259205021060606	0.4081029234216071	-0.0887210799719579	True	0.28	0.068599808	0.201312	0.191408	1.073151	0		60000.0	60000.0	1.0	59994.0	6.0	0.9999	0.9999	59.76583333333333	60.0	0.9949	0	0.0	175.0	False	high	success
cand_chr21_294	chr21	38234199	38334199	100000	100000	100165	2815	2980	65488	1243864	2.11723	14.0	0.02815	1.058614564831261	1.00165	-1.550521600812635	0.0247378648888901	0.0007159953612748	1.1760912590556811	-0.5030334613490507	-0.2879067017352101	0.1799675120325557	0.2631533819998633	-0.0869548172629604	True	0.34	0.081330176	0.244936	0.264496	2.130207	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.61363333333333	60.0	0.9915333333333334	0	0.0	594.0	False	high	success
cand_chr21_071	chr21	15934199	16034199	100000	100000	100274	2893	3072	68186	1282515	2.12375	12.0	0.02893	1.061873487729001	1.00274	-1.538651566352017	0.0260727777114914	0.0011883395976142	1.1139433523068367	-0.3498917545946396	-0.1692306214070728	0.2360135541825427	-0.0582422945227764	-0.0853377790854865	True	0.31	0.072679424	0.217456	0.24152	1.081607	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.618833333333335	60.0	0.9913333333333332	2	0.9467	285.0	True	high	success
cand_chr21_191	chr21	27934199	28034199	100000	100000	100058	3230	3402	73423	1429247	2.1065	11.0	0.0323	1.053250773993808	1.00058	-1.490797477668897	0.0225317869454472	0.0002518177794051	1.0791812460476249	0.2674996135959141	-0.4840308821262427	0.1248904849047003	-0.2380132834907835	-0.0824135167791029	True	0.31	0.078741504	0.221864	0.218264	2.121591	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9113	60.0	0.9976333333333334	6	0.9679	237.5	True	high	success
cand_chr21_137	chr21	22534199	22634199	100000	100000	100239	3140	3331	72428	1380450	2.12166	11.0	0.0314	1.060828025477707	1.00239	-1.5030703519267852	0.0256449846179618	0.0010367254177755	1.0791812460476249	0.1091606536821095	-0.2072621742335818	0.2180237618657645	-0.2380132834907835	-0.0295227605441228	True	0.49	0.118571008	0.401504	0.426744	2.162143	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9035	60.0	0.9976	0	0.0	340.6	False	high	success
cand_chr21_332	chr21	42034199	42134199	100000	100000	99525	3700	3865	72871	1681381	2.08919	13.0	0.037	1.0445945945945947	0.99525	-1.431798275933005	0.0189477741873487	-0.0020678137438644	1.146128035678238	1.0286800870780386	-0.8026558730438739	-0.1503455741465065	0.1081996441835623	0.0459695710178051	True	0.38	0.085950464	0.254016	0.286824	2.136455	0		60000.0	60000.0	1.0	59721.0	279.0	0.99535	0.99535	58.34793333333333	60.0	0.9682	0	0.0	655.0	False	high	success
cand_chr21_237	chr21	32534199	32634199	100000	100000	100132	2943	3137	34965	1331124	2.13184	15.0	0.02943	1.0659191301393136	1.00132	-1.531209737900389	0.027724256598134	0.0005728906913848	1.2041199826559248	-0.2538807182124828	-0.0224112653464281	0.1629874162814716	0.4081029234216071	0.0736995890360419	True	0.3	0.072138752	0.217192	0.208984	1.089279	0		60000.0	60000.0	1.0	59997.0	3.0	0.99995	0.99995	59.47186666666666	60.0	0.9901666666666666	70	0.9447	978.0	True	high	success
cand_chr21_287	chr21	37534199	37634199	100000	100000	100122	2787	2967	62873	1225216	2.12917	19.0	0.02787	1.0645855758880516	1.00122	-1.5548630312866958	0.0271805776035376	0.0005295163285991	1.3010299956639813	-0.5590445938153558	-0.0707452770834054	0.1578408278870523	0.909269588912254	0.1093301364751362	True	0.34	0.07094272	0.218256	0.288168	1.095399	0		60000.0	60000.0	1.0	59992.0	8.0	0.9998666666666668	0.9998666666666668	59.665033333333334	60.0	0.9924333333333332	0	0.0	817.6	False	high	success
cand_chr21_116	chr21	20434199	20534199	100000	100000	100056	4318	4558	164133	1834652	2.11116	8.0	0.04318	1.0555812876331636	1.00056	-1.364717362001788	0.0234916828461448	0.0002431368379033	0.9542425094393248	1.8941270817060136	-0.3986944608340679	0.12386044711472	-0.8841294904031747	0.1837908943958727	True	0.55	0.112951296	0.324488	0.652672	2.147871	0		60000.0	60000.0	1.0	59983.0	17.0	0.9997166666666668	0.9997166666666668	59.6726	60.0	0.9931666666666666	0	0.0	149.5	False	high	success
cand_chr21_000	chr21	5034199	5134199	100000	100000	98766	3628	3895	94526	1986185	2.14719	13.0	0.03628	1.0735942668136715	0.98766	-1.4403327216119424	0.0308401836205256	-0.0053925347006146	1.146128035678238	0.918572607456852	0.2546000865150098	-0.5448405982057791	0.1081996441835623	0.1841329349874112	True	0.61	0.114130944	0.282728	0.896032	2.162167	0												1	0.9984	1604.4	True	high	timeout_failed
cand_chr21_138	chr21	22634199	22734199	100000	100000	100111	3635	3889	44749	1641750	2.13975	11.0	0.03635	1.0698762035763412	1.00111	-1.439495584804943	0.0293335279524031	0.0004817995256171	1.0791812460476249	0.929372960213713	0.1206557674032024	0.1521789869129447	-0.2380132834907835	0.2410486077597691	True	0.33	0.082853888	0.234984	0.287488	2.134207	0		60000.0	60000.0	1.0	59994.0	6.0	0.9999	0.9999	59.3101	60.0	0.9861333333333332	0	0.0	177.1	False	high	success
cand_chr21_088	chr21	17634199	17734199	100000	100000	99245	3424	3743	83233	1753489	2.18633	11.0	0.03424	1.0931658878504673	0.99245	-1.4654662439948845	0.0386860711093062	-0.0032913639311787	1.0791812460476249	0.5943115004445677	0.9521131810777052	-0.2955260169148739	-0.2380132834907835	0.2532213452791538	True	1.4	0.145752064	4.882232	0.176936	1.068503	0		60000.0	60000.0	1.0	59937.0	63.0	0.99895	0.99895	59.33233333333333	60.0	0.9848333333333332	0	0.0	1477.4	True	high	success
cand_chr21_192	chr21	28034199	28134199	100000	100000	100069	3641	3872	91942	1594490	2.12689	13.0	0.03641	1.063444108761329	1.00069	-1.4387793210660562	0.0267146697024121	0.0002995598562438	1.146128035678238	0.9386138644270406	-0.1121653028433848	0.1305553247502468	0.1081996441835623	0.2663008826293662	True	0.34	0.083689472	0.241824	0.247624	2.129663	0		60000.0	60000.0	1.0	59992.0	8.0	0.9998666666666668	0.9998666666666668	59.419666666666664	60.0	0.9879333333333332	5	0.968	198.0	True	high	success
cand_chr21_243	chr21	33134199	33234199	100000	100000	100078	3323	3589	81686	1472014	2.1601	16.0	0.03323	1.0800481492627143	1.00078	-1.4784696587212889	0.0334431170545287	0.0003386176521614	1.230448921378274	0.4265474445402729	0.4860054128198341	0.1351897305667514	0.5442620881540513	0.3980011690202274	True	0.43	0.084344832	0.2406	0.689384	1.104519	0		60000.0	60000.0	1.0	59971.0	29.0	0.9995166666666668	0.9995166666666668	59.25373333333334	60.0	0.9831666666666666	0	0.0	590.4	False	high	success
cand_chr21_052	chr21	14034199	14134199	100000	100000	100093	4259	4552	200859	2138883	2.13759	10.0	0.04259	1.0687954918995068	1.00093	-1.370692359926251	0.0288946133132658	0.0004037061738828	1.0413926851582251	1.8170404158633695	0.081635489756948	0.1429128141808308	-0.4334354743128643	0.402038311372071	True	0.6	0.126304256	0.377376	0.445464	2.157527	0		60000.0	59929.0	0.9988166666666668	59894.0	35.0	0.9994159755710924	0.9982333333333332	59.07585643010896	60.0	0.9814113367484856	23	0.981	1917.6	True	high	success
cand_chr21_358	chr21	44834199	44934199	100000	100000	99652	4184	4510	94733	1899080	2.15583	13.0	0.04184	1.0779158699808795	0.99652	-1.378408324140782	0.0325848660187427	-0.0015139806539348	1.146128035678238	1.7174926063780953	0.4097053974628945	-0.0846304657272583	0.1081996441835623	0.5376917955743235	True	0.54	0.100794368	0.282544	0.734496	2.186047	0		60000.0	59995.0	0.9999166666666668	59556.0	439.0	0.9926827235602969	0.9926	57.562280190015834	60.0	0.9543795316276356	1	0.9096	1119.3	True	high	success
cand_chr21_145	chr21	23334199	23434199	100000	100000	99654	3538	3831	83068	1680105	2.16563	22.0	0.03538	1.082815149802148	0.99654	-1.4512421714262955	0.0345543234093734	-0.0015052645193093	1.3617278360175928	0.7778239205120382	0.5847935976330572	-0.0835962520944373	1.22316629894545	0.625546891249027	True	0.74	0.124944384	0.384328	0.678792	2.185223	0		60000.0	60000.0	1.0	59755.0	245.0	0.9959166666666668	0.9959166666666668	59.00213333333333	60.0	0.9816666666666668	8	0.9321	1091.2	True	high	success
cand_chr21_330	chr21	41834199	41934199	100000	100000	99792	3459	3819	78154	1649817	2.20815	16.0	0.03459	1.1040763226366002	0.99792	-1.4610494379856385	0.0429990963589563	-0.0009042732929435	1.230448921378274	0.651295093281067	1.3355486551540774	-0.0122855913235762	0.5442620881540513	0.6297050613164049	True	0.46	0.08265728	0.246616	0.43544	1.106207	0		60000.0	60000.0	1.0	59735.0	265.0	0.9955833333333334	0.9955833333333334	58.222833333333334	60.0	0.9668333333333332	0	0.0	928.0	False	high	success
cand_chr21_046	chr21	13434199	13534199	100000	100000	98328	3347	3773	59102	1906154	2.25456	54.0	0.03347	1.127278159545862	0.98328	-1.475344287642223	0.0520310928432184	-0.0073227943352516	1.740362689494244	0.4668695398869211	2.138508910042479	-0.7738757054862097	3.1812628987225806	1.2531914107914428	True	153.72	0.091815936	0.267744	0.397344	2.146823	0												11	0.9812	525.4	True	high	timeout_failed
cand_chr21_244	chr21	33234199	33334199	100000	100000	97817	2895	3353	82844	4001353	2.31641	66.0	0.02895	1.1582037996545769	0.97817	-1.538351431936545	0.063784985365365	-0.0095856609118424	1.8260748027008264	-0.3460195588740946	3.1834504743974867	-1.0423763153682788	3.6245200259745265	1.35489365653241	True	273.77	0.152109056	0.332336	1.489376	2.154687	0												0	0.0	2088.8	True	high	timeout_failed
cand_chr21_195	chr21	28334199	28434199	100000	100000	100028	3051	3674	88377	1359885	2.40839	30.0	0.03051	1.204195345788266	1.00028	-1.515557792357593	0.0806969443273824	0.0001215854337664	1.4913616938342726	-0.0519465399753869	4.6869531498542	0.1094377557901833	1.893563157227504	1.659501880724125	True	1.96	0.088604672	0.241144	1.232768	1.098063	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.4472	60.0	0.9887	0	0.0	351.0	False	high	success
cand_chr21_313	chr21	40134199	40234199	100000	100000	99112	3673	4243	108358	2227670	2.31037	78.0	0.03673	1.1551864960522733	0.99112	-1.4349790716547062	0.0626521034213221	-0.0038737600628932	1.8976270912904416	0.987642928569816	3.082735291864782	-0.3646302752816663	3.994550126761951	1.9250745179787208	True	117.47	0.110084096	0.363984	0.83996	2.157919	0												0	0.0	970.0	False	high	timeout_failed
cand_chr21_081	chr21	16934199	17034199	100000	100000	99500	3593	4472	83399	1759162	2.48928	30.0	0.03593	1.2446423601447258	0.995	-1.4445427827953503	0.0950445776737173	-0.0021769192542745	1.4913616938342726	0.864256340953439	5.9624828014536755	-0.1632914969815767	1.893563157227504	2.13925270066326	True	1.0	0.136052736	0.257616	3.213904	1.110127	0		60000.0	59987.0	0.9997833333333334	59734.0	253.0	0.9957824195242304	0.9955666666666668	58.40580459099471	60.0	0.9719772617400436	0	0.0	1482.0	True	high	success
cand_chr21_347	chr21	43734199	43834199	100000	100000	99659	4157	5339	95910	2024767	2.56868	45.0	0.04157	1.2843396680298291	0.99659	-1.3812199754937853	0.108679896351694	-0.0014834749480323	1.662757831681574	1.681217978159801	7.174686435526199	-0.0810108088175422	2.7799321527178495	2.888706439396577	True	35.77	0.1601536	0.358176	3.76944	2.231455	0		60000.0	59999.0	0.9999833333333332	59865.0	134.0	0.997766629443824	0.99775	58.50692511541859	60.0	0.9704828413806896	0	0.0	998.4	False	high	success
