region_id	chrom	start	end	window_size	reference_length	graph_bp	node_count	edge_count	path_count	step_count	mean_degree	max_degree	node_density	edge_node_ratio	sequence_inflation	complexity_score	index_success	wall_time_sec	max_rss_gb	gbz_size_mb	dist_size_mb	min_size_mb	exit_code	failure_reason	total_reads	mapped_reads	mapping_rate	correct_reads	incorrect_reads	accuracy	sensitivity	mean_mapq	median_mapq	high_mapq_fraction	n_segdup	max_segdup_identity	max_tandem_repeat_span_bp	hazard_flag_v3	complexity_tier	pipeline_status
cand_chr21_123	chr21	21134199	21234199	100000	100000	102198	4279	5882	467	1322812	2.74924	18.0	0.04279	1.3746202383734518	1.02198	-0.3260328439667231	True	0.28	0.070713344	0.208688	0.191472	1.070103	0		60000.0	60000.0	1.0	59997.0	3.0	0.99995	0.99995	59.76023333333333	60.0	0.9948	0	0.0	322.4	False	low	success
cand_chr21_210	chr21	29834199	29934199	100000	100000	103194	4522	6293	466	1382737	2.78328	11.0	0.04522	1.391640866873065	1.03194	-0.2972092705292757	True	0.32	0.0724992	0.217816	0.232824	1.086495	0		60000.0	59983.0	0.9997166666666668	59948.0	35.0	0.999416501342047	0.9991333333333332	59.34818198489572	60.0	0.9871463581348048	0	0.0	254.6	False	low	success
cand_chr21_163	chr21	25134199	25234199	100000	100000	102260	4216	5804	466	1309355	2.75332	15.0	0.04216	1.3766603415559773	1.0226	-0.2930038826012304	True	0.28	0.069664768	0.206792	0.191256	1.067919	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.62246666666667	60.0	0.993	0	0.0	55.2	False	low	success
cand_chr21_127	chr21	21534199	21634199	100000	100000	106354	5147	7007	466	1564814	2.72275	24.0	0.05147	1.3613755585778122	1.06354	-0.2925216728346843	True	0.29	0.08011776	0.223552	0.2122	2.109303	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.91373333333333	60.0	0.9982333333333332	0	0.0	133.0	False	low	success
cand_chr21_047	chr21	13534199	13634199	100000	100000	101721	4398	6049	466	1358932	2.7508	14.0	0.04398	1.3753979081400636	1.01721	-0.2815811577726088	True	0.27	0.071467008	0.20944	0.194072	1.069095	0		60000.0	60000.0	1.0	59996.0	4.0	0.9999333333333332	0.9999333333333332	59.87586666666667	60.0	0.9972333333333332	26	0.9961	347.7	True	low	success
cand_chr21_093	chr21	18134199	18234199	100000	100000	100032	2777	2930	66946	1263687	2.11019	12.0	0.02777	1.0550954267194814	1.00032	-0.2355996563784524	True	1.37	0.120782848	3.92952	0.080224	1.057559	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.91296666666667	60.0	0.9977	0	0.0	149.1	False	low	success
cand_chr21_184	chr21	27234199	27334199	100000	100000	103007	4371	5992	466	1344201	2.74171	14.0	0.04371	1.3708533516357813	1.03007	-0.184717420562904	True	0.29	0.070746112	0.213232	0.19116	1.062895	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.87206666666667	60.0	0.9971333333333332	0	0.0	144.0	False	low	success
cand_chr21_096	chr21	18434199	18534199	100000	100000	102191	4281	5903	467	1321631	2.75777	20.0	0.04281	1.3788834384489606	1.02191	-0.1348410006451865	True	0.29	0.071155712	0.209224	0.194384	1.078975	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.6702	60.0	0.9932333333333332	1	0.927	83.2	True	low	success
cand_chr21_157	chr21	24534199	24634199	100000	100000	102162	4600	6324	466	1403563	2.74957	22.0	0.046	1.3747826086956525	1.02162	-0.1053957933305728	True	0.3	0.071958528	0.216536	0.209056	1.079855	0		60000.0	60000.0	1.0	59968.0	32.0	0.9994666666666666	0.9994666666666666	59.8151	60.0	0.9962	0	0.0	176.4	False	low	success
cand_chr21_043	chr21	13134199	13234199	100000	100000	287748	15699	21747	467	4984631	2.77049	32.0	0.15699	1.3852474679915918	2.87748	-0.1016252221210168	True	0.9	0.202817536	0.651744	0.817616	4.326071	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.39606666666667	60.0	0.9873	91	0.9919	262.0	True	low	success
cand_chr21_246	chr21	33434199	33534199	100000	100000	111813	4433	6186	466	1389400	2.79089	15.0	0.04433	1.3954432664110084	1.11813	-0.0982804773888673	True	0.29	0.071712768	0.218352	0.211432	1.112079	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.7749	60.0	0.9958333333333332	1	0.907	623.2	True	low	success
cand_chr21_352	chr21	44234199	44334199	100000	100000	121838	6946	9516	466	2171005	2.73999	18.0	0.06946	1.3699971206449757	1.21838	-0.0943857184202265	True	0.37	0.098844672	0.291832	0.2956	2.140551	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.5477	60.0	0.9909333333333332	1	0.9984	1207.5	True	low	success
cand_chr21_106	chr21	19434199	19534199	100000	100000	101768	4459	6151	466	1360214	2.75891	19.0	0.04459	1.379457277416461	1.01768	-0.0903471530940751	True	0.29	0.0708608	0.212768	0.202144	1.073079	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.612966666666665	60.0	0.9924333333333332	0	0.0	168.1	False	low	success
cand_chr21_061	chr21	14934199	15034199	100000	100000	100864	3612	5012	467	1565754	2.77519	33.0	0.03612	1.3875968992248062	1.00864	-0.090194481255646	True	0.4	0.074481664	0.20316	0.20904	1.072823	0		60000.0	60000.0	1.0	59940.0	60.0	0.999	0.999	59.15593333333333	60.0	0.9844666666666668	0	0.0	1265.0	False	low	success
cand_chr21_263	chr21	35134199	35234199	100000	100000	102317	4491	6196	466	1401231	2.7593	16.0	0.04491	1.3796481852594078	1.02317	-0.0888354872953835	True	0.29	0.072597504	0.216504	0.195896	1.070335	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.637	60.0	0.9923	1	0.9721	172.2	True	high	success
cand_chr21_177	chr21	26534199	26634199	100000	100000	101605	3935	5460	466	1209918	2.7751	33.0	0.03935	1.3875476493011436	1.01605	-0.0887210799719579	True	0.28	0.06782976	0.201312	0.191408	1.073151	0		60000.0	60000.0	1.0	59994.0	6.0	0.9999	0.9999	59.76583333333333	60.0	0.9949	0	0.0	175.0	False	high	success
cand_chr21_294	chr21	38234199	38334199	100000	100000	157612	4621	6410	466	1414071	2.77429	27.0	0.04621	1.3871456394719757	1.57612	-0.0869548172629604	True	0.34	0.080150528	0.244936	0.264496	2.130207	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.61363333333333	60.0	0.9915333333333334	0	0.0	594.0	False	high	success
cand_chr21_071	chr21	15934199	16034199	100000	100000	102477	4454	6210	466	1372380	2.7885	36.0	0.04454	1.3942523574315222	1.02477	-0.0853377790854865	True	0.32	0.072646656	0.217456	0.24152	1.081607	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.618833333333335	60.0	0.9913333333333332	2	0.9467	285.0	True	high	success
cand_chr21_191	chr21	27934199	28034199	100000	100000	103109	4902	6759	466	1508584	2.75765	32.0	0.04902	1.3788249694002448	1.03109	-0.0824135167791029	True	0.3	0.078954496	0.221864	0.218264	2.121591	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9113	60.0	0.9976333333333334	6	0.9679	237.5	True	high	success
cand_chr21_137	chr21	22534199	22634199	100000	100000	231909	8326	11515	467	2547722	2.76603	29.0	0.08326	1.383017055008407	2.31909	-0.0295227605441228	True	0.49	0.118439936	0.401504	0.426744	2.162143	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9035	60.0	0.9976	0	0.0	340.6	False	high	success
cand_chr21_332	chr21	42034199	42134199	100000	100000	108604	5776	7946	466	1771697	2.75139	20.0	0.05776	1.3756925207756232	1.08604	0.0459695710178051	True	0.39	0.086310912	0.254016	0.286824	2.136455	0		60000.0	60000.0	1.0	59721.0	279.0	0.99535	0.99535	58.34793333333333	60.0	0.9682	0	0.0	655.0	False	high	success
cand_chr21_237	chr21	32534199	32634199	100000	100000	105922	4488	6213	466	1368528	2.76872	19.0	0.04488	1.3843582887700534	1.05922	0.0736995890360419	True	0.29	0.071155712	0.217192	0.208984	1.089279	0		60000.0	60000.0	1.0	59997.0	3.0	0.99995	0.99995	59.47186666666666	60.0	0.9901666666666666	70	0.9447	978.0	True	high	success
cand_chr21_287	chr21	37534199	37634199	100000	100000	102379	4376	6143	466	1309495	2.80759	27.0	0.04376	1.4037934186471663	1.02379	0.1093301364751362	True	0.36	0.070877184	0.218256	0.288168	1.095399	0		60000.0	60000.0	1.0	59992.0	8.0	0.9998666666666668	0.9998666666666668	59.665033333333334	60.0	0.9924333333333332	0	0.0	817.6	False	high	success
cand_chr21_116	chr21	20434199	20534199	100000	100000	142599	7676	10905	466	2320390	2.84132	31.0	0.07676	1.4206618030224074	1.42599	0.1837908943958727	True	0.54	0.113393664	0.324488	0.652672	2.147871	0		60000.0	60000.0	1.0	59983.0	17.0	0.9997166666666668	0.9997166666666668	59.6726	60.0	0.9931666666666666	0	0.0	149.5	False	high	success
cand_chr21_000	chr21	5034199	5134199	100000	100000	120738	6490	9150	466	2460034	2.81972	24.0	0.0649	1.4098613251155625	1.20738	0.1841329349874112	True	0.61	0.114049024	0.282728	0.896032	2.162167	0												1	0.9984	1604.4	True	high	timeout_failed
cand_chr21_138	chr21	22634199	22734199	100000	100000	103189	5492	7622	466	1694445	2.77567	18.0	0.05492	1.387836853605244	1.03189	0.2410486077597691	True	0.32	0.083050496	0.234984	0.287488	2.134207	0		60000.0	60000.0	1.0	59994.0	6.0	0.9999	0.9999	59.3101	60.0	0.9861333333333332	0	0.0	177.1	False	high	success
cand_chr21_088	chr21	17634199	17734199	100000	100000	99245	3424	3743	83233	1753489	2.18633	11.0	0.03424	1.0931658878504673	0.99245	0.2532213452791538	True	1.49	0.1458176	4.882232	0.176936	1.068503	0		60000.0	60000.0	1.0	59937.0	63.0	0.99895	0.99895	59.33233333333333	60.0	0.9848333333333332	0	0.0	1477.4	True	high	success
cand_chr21_192	chr21	28034199	28134199	100000	100000	102236	5508	7617	467	1693908	2.7658	17.0	0.05508	1.382897603485839	1.02236	0.2663008826293662	True	0.33	0.083836928	0.241824	0.247624	2.129663	0		60000.0	60000.0	1.0	59992.0	8.0	0.9998666666666668	0.9998666666666668	59.419666666666664	60.0	0.9879333333333332	5	0.968	198.0	True	high	success
cand_chr21_243	chr21	33134199	33234199	100000	100000	103557	5309	7626	466	1582996	2.87286	28.0	0.05309	1.4364287059709926	1.03557	0.3980011690202274	True	0.43	0.085458944	0.2406	0.689384	1.104519	0		60000.0	60000.0	1.0	59971.0	29.0	0.9995166666666668	0.9995166666666668	59.25373333333334	60.0	0.9831666666666666	0	0.0	590.4	False	high	success
cand_chr21_052	chr21	14034199	14134199	100000	100000	152643	9024	12519	466	3144054	2.7746	26.0	0.09024	1.3873005319148937	1.52643	0.402038311372071	True	0.61	0.12550144	0.377376	0.445464	2.157527	0		60000.0	59929.0	0.9988166666666668	59894.0	35.0	0.9994159755710924	0.9982333333333332	59.07585643010896	60.0	0.9814113367484856	23	0.981	1917.6	True	high	success
cand_chr21_358	chr21	44834199	44934199	100000	100000	104387	6793	9674	466	2024206	2.84823	19.0	0.06793	1.4241130575592522	1.04387	0.5376917955743235	True	0.55	0.101613568	0.282544	0.734496	2.186047	0		60000.0	59995.0	0.9999166666666668	59556.0	439.0	0.9926827235602969	0.9926	57.562280190015834	60.0	0.9543795316276356	1	0.9096	1119.3	True	high	success
cand_chr21_145	chr21	23334199	23434199	100000	100000	162872	8932	12585	467	2799589	2.81796	36.0	0.08932	1.4089789520824003	1.62872	0.625546891249027	True	0.69	0.124403712	0.384328	0.678792	2.185223	0		60000.0	60000.0	1.0	59755.0	245.0	0.9959166666666668	0.9959166666666668	59.00213333333333	60.0	0.9816666666666668	8	0.9321	1091.2	True	high	success
cand_chr21_330	chr21	41834199	41934199	100000	100000	102719	5378	7614	466	1741427	2.83154	21.0	0.05378	1.4157679434734105	1.02719	0.6297050613164049	True	0.46	0.0827392	0.246616	0.43544	1.106207	0		60000.0	60000.0	1.0	59735.0	265.0	0.9955833333333334	0.9955833333333334	58.222833333333334	60.0	0.9668333333333332	0	0.0	928.0	False	high	success
cand_chr21_046	chr21	13434199	13534199	100000	100000	101762	5054	7306	466	1971143	2.89118	72.0	0.05054	1.445587653343886	1.01762	1.2531914107914428	True	154.37	0.09183232	0.267744	0.397344	2.146823	0												11	0.9812	525.4	True	high	timeout_failed
cand_chr21_244	chr21	33234199	33334199	100000	100000	101450	4563	6876	466	4117466	3.01381	90.0	0.04563	1.5069033530571991	1.0145	1.35489365653241	True	274.21	0.1527808	0.332336	1.489376	2.154687	0												0	0.0	2088.8	True	high	timeout_failed
cand_chr21_195	chr21	28334199	28434199	100000	100000	102299	4746	7458	466	1466823	3.14286	46.0	0.04746	1.5714285714285714	1.02299	1.659501880724125	True	1.9	0.08871936	0.241144	1.232768	1.098063	0		60000.0	60000.0	1.0	59998.0	2.0	0.9999666666666668	0.9999666666666668	59.4472	60.0	0.9887	0	0.0	351.0	False	high	success
cand_chr21_313	chr21	40134199	40234199	100000	100000	118689	5556	8320	466	2349230	2.99496	144.0	0.05556	1.4974802015838733	1.18689	1.9250745179787208	True	117.9	0.109068288	0.363984	0.83996	2.157919	0												0	0.0	970.0	False	high	timeout_failed
cand_chr21_081	chr21	16934199	17034199	100000	100000	102629	5650	8854	466	1876420	3.13416	41.0	0.0565	1.5670796460176992	1.02629	2.13925270066326	True	0.95	0.136495104	0.257616	3.213904	1.110127	0		60000.0	59987.0	0.9997833333333334	59734.0	253.0	0.9957824195242304	0.9955666666666668	58.40580459099471	60.0	0.9719772617400436	0	0.0	1482.0	True	high	success
cand_chr21_347	chr21	43734199	43834199	100000	100000	104929	6704	12793	466	2185280	3.81653	104.0	0.06704	1.908263723150358	1.04929	2.888706439396577	True	35.85	0.159793152	0.358176	3.76944	2.231455	0		60000.0	59999.0	0.9999833333333332	59865.0	134.0	0.997766629443824	0.99775	58.50692511541859	60.0	0.9704828413806896	0	0.0	998.4	False	high	success
